"País","Años Obligatorios de Educacion"
"Aruba",13
"Afganistán",9
"Angola",6
"Albania",9
"Andorra",10
"El mundo árabe",9
"Emiratos Árabes Unidos",6
"Argentina",14
"Armenia",12
"Antigua y Barbuda",11
"Australia",10
"Austria",13
"Azerbaiyán",10
"Bélgica",12
"Benin",6
"Burkina Faso",10
"Bangladesh",5
"Bulgaria",11
"Bahrein",9
"Bahamas",12
"Bosnia y Herzegovina",9
"Belarús",9
"Belice",8
"Bermudas",13
"Bolivia",14
"Brasil",14
"Barbados",11
"Brunei Darussalam",9
"República Centroafricana",10
"Canadá",10
"Europa Central y del Báltico",10
"Suiza",11
"Chile",12
"China",9
"Côte d'Ivoire",10
"Camerún",6
"Congo, República Democrática del",6
"Congo, República del",10
"Colombia",12
"Comoras",6
"Cabo Verde",10
"Costa Rica",13
"Estados pequeos del Caribe",6.5
"Cuba",9
"Curacao",14
"Islas Caimán",12
"Chipre",10
"República Checa",9
"Alemania",13
"Djibouti",10
"Dominica",12
"Dinamarca",10
"República Dominicana",15
"Argelia",10
"Asia oriental y el Pacífico (excluido altos ingresos)",9
"inicial del dividendo demográfico",10
"Asia oriental y el Pacífico",9
"Europa y Asia central (excluido altos ingresos)",10.5
"Europa y Asia central",10
"Ecuador",15
"Egipto, República Árabe de",12
"Zona del Euro",10
"Eritrea",8
"España",10
"Estonia",9
"Etiopía",8
"Unión Europea",10
"Frágiles y situaciones de conflicto afectados",9
"Finlandia",10
"Francia",10
"Islas Feroe",9
"Micronesia (Estados Federados de)",8
"Gabón",10
"Reino Unido",11
"Georgia",9
"Ghana",11
"Gibraltar",10
"Guinea",6
"Gambia",9
"Guinea-Bissau",9
"Guinea Ecuatorial",6
"Grecia",10
"Granada",12
"Groenlandia",10
"Guatemala",16
"Guam",0
"Guyana",6
"Ingreso alto",10
"Hong Kong, Región Administrativa Especial",9
"Honduras",12
"Países pobres muy endeudados (PPME)",8.5
"Croacia",8
"Haití",6
"Hungría",13
"Sólo BIRF",10
"BIRF y la AIF",9
"total de la AIF",9
"mezcla de la AIF",9.5
"Indonesia",9
"Sólo AIF",9
"India",8
"Irlanda",10
"Irán, República Islámica del",9
"Iraq",6
"Islandia",10
"Israel",15
"Italia",12
"Jamaica",6
"Jordania",10
"Japón",9
"Kazajstán",9
"Kenya",12
"Kirguistán",10
"Kiribati",9
"Saint Kitts y Nevis",12
"Corea, República de",9
"Kuwait",9
"América Latina y el Caribe (excluido altos ingresos)",14
"República Democrática Popular Lao",9
"Líbano",10
"Liberia",6
"Libia",9
"Santa Lucía",10
"América Latina y el Caribe",13
"Países menos desarrollados: clasificación de las Naciones Unidas",8
"Países de ingreso bajo",9
"Liechtenstein",9
"Sri Lanka",11
"Países de ingreso mediano bajo",10
"Ingreso mediano y bajo",9
"Lesotho",7
"avanzada del dividendo demográfico",10
"Lituania",10
"Luxemburgo",12
"Letonia",11
"Región Administrativa Especial de Macao, China",10
"Marruecos",9
"Mónaco",11
"República de Moldova",11
"Madagascar",5
"Maldivas",7
"Oriente Medio y Norte de África",9
"México",14
"Islas Marshall",13
"Ingreso mediano",10
"Macedonia del Norte",13
"Malí",9
"Malta",11
"Myanmar",5
"Oriente Medio y Norte de África (excluido altos ingresos)",9
"Montenegro",9
"Mongolia",12
"Mauritania",9
"Mauricio",11
"Malawi",8
"Malasia",6
"América del Norte",11
"Namibia",7
"Nueva Caledonia",0
"Nigeria",9
"Nicaragua",7
"Países Bajos",13
"Noruega",10
"Nepal",10
"Nauru",14
"Nueva Zelandia",10
"Miembros OCDE",10
"Omán",10
"Otros Estados pequeos",9
"Pakistán",12
"Panamá",11
"Perú",14
"Filipinas",13
"Palau",12
"Polonia",10
"previa al dividendo demográfico",8.5
"Puerto Rico",13
"Corea, República Popular Democrática de",12
"Portugal",12
"Paraguay",13
"Ribera Occidental y Gaza",10
"posterior al dividendo demográfico",10
"Qatar",9
"Rumania",10
"Federación de Rusia",11
"Rwanda",6
"Asia meridional",9.5
"Arabia Saudita",9
"Sudán",8
"Senegal",11
"Singapur",6
"Sierra Leona",9
"El Salvador",15
"San Marino",10
"Serbia",8
"África al sur del Sahara (excluido altos ingresos)",8
"Sudán del Sur",8
"África al sur del Sahara",8
"Pequeños Estados",9
"Santo Tomé y Príncipe",6
"Suriname",6
"República Eslovaca",10
"Eslovenia",9
"Suecia",9
"Eswatini",7
"Sint Maarten (Dutch part)",14
"Seychelles",10
"República Árabe Siria",9
"Islas Turcas y Caicos",13
"Chad",10
"Asia oriental y el Pacífico (BIRF y la AIF)",9
"Europa y Asia central (BIRF y la AIF)",10
"Togo",10
"Tailandia",9
"Tayikistán",9
"Turkmenistán",12
"América Latina y el Caribe (BIRF y la AIF)",14
"Timor-Leste",9
"Oriente Medio y Norte de África (BIRF y la AIF)",9
"Tonga",15
"Asia meridional (BIRF y la AIF)",9.5
"África al sur del Sahara (BIRF y la AIF)",8
"Trinidad y Tobago",7
"Túnez",9
"Turquía",12
"Tuvalu",8
"Tanzanía",7
"Uganda",7
"Ucrania",11
"Ingreso mediano alto",10
"Uruguay",14
"Estados Unidos",12
"Uzbekistán",12
"San Vicente y las Granadinas",12
"Venezuela",17
"Islas Vírgenes Británicas",12
"Viet Nam",10
"Mundo",10
"Samoa",8
"Yemen, Rep. del",9
"Sudáfrica",9
"Zambia",7
"Zimbabwe",7
